OaSIS profile code,Lead statement
72422.00,"Electrical mechanics maintain, test, rebuild and repair electric motors, transformers, switchgear and other electrical apparatus. Apprentices are also included in this unit group."
72423.01,"Motorcycle, all-terrain vehicle and other related mechanics test, repair and service motorcycles, motor scooters, forklifts and all-terrain vehicles. Apprentices are also included in this occupation."
72423.02,"Recreation vehicle technicians test, repair and service snowmobiles, outboard motors, and other recreation vehicles. Apprentices are also included in this occupation."
72429.00,"Other small engine and small equipment repairers test, repair and service small gasoline and diesel-powered engines and equipment, such as garden tractors, lawn mowers and other related equipment. Apprentices are also included in this unit group."
72500.00,"Crane operators operate cranes or draglines to lift, move, position or place machinery, equipment and other large objects at construction or industrial sites, ports, railway yards, surface mines and other similar locations. Apprentices are also included in this unit group."
72501.00,"Water well drillers operate a variety of mobile water well drilling rigs and equipment to drill and monitor residential, commercial and industrial water wells. Apprentices are also included in this unit group."
72600.01,Air pilots fly fixed wing aircraft and helicopters to provide air transportation and other services such as crop spraying and aerial surveying.
72600.02,"Flight engineers assist air pilots with monitoring, troubleshooting and maintenance of aircraft systems and with pre- and post-flight inspections."
72600.03,Flying instructors teach flying techniques and procedures to student and licensed pilots.
72601.01,"Air traffic controllers direct air traffic within assigned airspace, and control moving aircraft and service vehicles at airports."
72601.02,Flight dispatchers authorize airline flights over assigned routes.
72601.03,Flight service specialists provide pilots with flight information essential to aviation safety.
72602.00,"Deck officers, water transport, operate and command ships or self-propelled vessels to transport passengers and cargo on oceans and coastal and inland waters, and supervise and coordinate the activities of deck crews. This unit group also includes Canadian Coast Guard deck officers."
72603.00,"Engineer officers, water transport, operate and maintain main engines, machinery and auxiliary equipment aboard ships and other self-propelled vessels, and supervise and coordinate the activities of engine room crews"
72604.01,Railway traffic controllers coordinate passenger and freight train traffic on railways.
72604.02,Marine traffic regulators monitor and regulate coastal and inland marine traffic within assigned waterways.
72999.01,Gunsmiths fabricate guns and repair and modify firearms according to blueprints or customers' specifications. Apprentices are also included in this occupation.
72999.02,"Locksmiths repair, install and adjust locks, make keys and change lock combinations. Apprentices are also included in this occupation."
72999.03,"Safe and vault servicers install, repair and maintain safes and vaults in banks and other establishments. Apprentices are also included in this occupation."
72999.04,"Saw fitters repair, set and sharpen band saws, chain saws, circular saws and other types of saw blades according to specifications. Apprentices are also included in this occupation."
72999.05,Die setters select dies for forging according to work order and specifications; position align and bolt dies to ram and anvil of power presses and hammers. Apprentices are also included in this occupation.
72999.06,"Commercial divers perform underwater activities related to construction, inspection, search, salvage, repair and photography. Apprentices are also included in this occupation."
73100.00,"Concrete finishers smooth and finish freshly poured concrete, apply curing or surface treatments and install, maintain and restore various masonry structures such as foundations, floors, ceilings, sidewalks, roads, patios and highrise buildings. Apprentices are also included in this unit group."
73101.00,"Tilesetters cover interior and exterior walls, floors and ceilings with ceramic, marble and quarry tile, mosaics or terrazzo. Apprentices are also included in this unit group."
73102.01,"Plasterers apply finish, and maintain and restore plaster or similar materials, on interior and exterior walls, ceilings and building partitions to produce plain or decorative surfaces. Apprentices are also included in this occupation."
73102.02,Drywall installers and finishers install and finish drywall sheets and various types of ceiling systems. Apprentices are also included in this occupation.
73102.03,"Lathers install support framework for ceiling systems, interior and exterior walls and building partitions. Apprentices are also included in this occupation."
73110.01,"Roofers install, repair or replace flat roofs as well as shingles, shakes or other roofing tiles on sloped roofs. Apprentices are also included in this occupation."
73110.02,"Shinglers install and replace shingles, tiles and similar coverings on sloped roofs. Apprentices are also included in this occupation."
73111.00,"Glaziers cut, fit, install and replace glass in residential, commercial and industrial buildings, on exterior walls of buildings and other structures and in furniture and other products. Apprentices are also included in this unit group."
73112.00,"Painters and decorators apply paint, wallpaper and other finishes to interior and exterior surfaces of buildings and other structures. Apprentices are also included in this unit group."
73113.00,"Floor covering installers install carpet, wood, linoleum, vinyl and other resilient floor coverings in residential, commercial, industrial and institutional buildings. Apprentices are also included in this unit group."
73200.00,"Residential and commercial installers and servicers install and service a wide variety of interior and exterior prefabricated products such as windows, doors, electrical appliances, water heaters, fences, play structures and septic and irrigation systems at residential, commercial or institutional properties."
73201.00,"General building maintenance workers perform tasks related to the general maintenance of buildings. They execute minor repair work, maintain equipment and installations and perform preventive inspection of systems relating to building mechanics. Building superintendents employed in large establishments are responsible for the operation of the establishment and may also supervise other workers."
73202.00,"Pest controllers and fumigators inspect buildings and outside areas for pest infestation and spray chemical treatments to kill noxious and destructive insects, rodents and other pests or set cage traps to capture and remove animals."
73209.00,"Other repairers and servicers repair and service a wide variety of products, such as cameras, scales, musical instruments, coin machines, vending machines, sporting goods and other miscellaneous products and equipment."
73300.01,"Long-haul truck drivers operate heavy trucks to transport goods and materials over urban, interurban, provincial and international routes."
73300.02,Short-haul and local transport truck drivers operate heavy trucks to transport goods and materials over urban and short interurban routes.
73301.01,Bus and streetcar drivers transport passengers on established routes.
73301.02,School bus drivers transport students by bus on established routes to and from schools.
73301.03,Subway train and light rail transit operators transport passengers on established routes.
73310.01,Railway locomotive engineers Railway locomotive engineers operate railway locomotives to transport passengers and freight.
73310.02,"Yard locomotive engineers operate locomotives within yards of railway, industrial or other establishments."
73311.01,Railway conductors coordinate and supervise the activities of passenger and freight train crew members.
73311.02,"Brakemen check train brakes and other systems and equipment prior to train run, and assist railway conductors in activities en route."
73400.00,"Heavy equipment operators operate heavy equipment used in the construction and maintenance of roads, bridges, airports, gas and oil pipelines, tunnels, buildings and other structures; in surface mining and quarrying activities; and in material handling work. Apprentices are also included in this unit group."
73401.00,"Printing press operators set up and operate sheet and web-fed presses to print text, illustrations and designs on a wide variety of materials such as paper, plastic, glass, leather and metal.  Apprentices are also included in this unit group."
73402.01,Drillers operate mobile drilling machines to bore blast holes in open-pit mines and quarries and to bore holes for blasting and for building foundations at construction sites.
73402.02,"Blasters - surface mining, quarrying and construction fill blast holes with explosives and detonate explosives to dislodge coal, ore and rock or to demolish structures."
74100.01,"Mail sorters process and sort mail and parcels in post offices, mail processing plants and internal mail rooms."
74100.02,"Mailroom clerks receive, process, sort and distribute manually or electronically incoming and outgoing mail, faxes, messages and courier packages; maintain address databases and produce personalized mailings."
74101.00,"Letter carriers sort and deliver mail, record delivery of registered mail and collect money for cash-on-delivery parcels."
74102.00,"Couriers and messengers pick up and deliver letters, parcels, packages, messages, and other items within and between establishments."
74200.01,"Railway yard workers regulate yard traffic, couple and uncouple trains and perform related yard activities"
74200.02,"Railway track maintenance workers operate machines and equipment to lay, maintain and repair railway tracks."
74201.01,"Engine room crew - water transport assist ship engineer officers to operate, maintain and repair engines, machinery and auxiliary equipment aboard ships and self-propelled vessels."
74201.02,"Deck crew, water transport stand watch, operate and maintain deck equipment and perform other deck and bridge duties aboard ships and self-propelled vessels under the direction of deck officers."
74202.00,"Air transport ramp attendants operate ramp-servicing vehicles and equipment, handle cargo and baggage and perform other ground support duties at airports."
74203.00,"Automotive and heavy truck and equipment parts installers and servicers install replacement automotive mechanical parts such as mufflers, exhaust pipes, shock absorbers, springs and radiators and perform routine maintenance service such as oil changes, lubrication and tire repairs on automobiles, trucks and heavy equipment."
74204.01,"Waterworks maintenance workers locate, repair, install and perform maintenance on waterworks equipment and facilities."
74204.02,"Gas maintenance workers  locate, repair, install and perform maintenance and minor repairs to exterior and underground gas mains and distribution lines."
74205.00,"Public works maintenance equipment operators and related workers operate vehicles and equipment to maintain streets, highways and sewer systems and operate trucks to collect garbage and recyclable materials. This unit group also includes workers who clear vegetation close to power lines."
75100.00,Longshore workers transfer cargo throughout dock area and onto and from ships and other vessels.
75101.01,"Material handlers (manual) handle, move, load and unload materials by hand."
75101.02,"Material handlers (equipment operators) handle, move, load and unload materials by using a variety of material handling equipment."
75110.00,"Construction trades helpers and labourers assist skilled tradespersons and perform labouring activities at construction sites, in quarries and in surface mines."
75119.00,"Other trades helpers and labourers assist skilled tradespersons and perform labouring activities in the installation, maintenance and repair of industrial machinery, refrigeration, heating and air conditioning equipment, in the maintenance and repair of transportation and heavy equipment, in the installation and repair of telecommunication and power cables and in other repair and service work settings."
75200.01,Taxi and limousine drivers drive automobiles and limousines to transport passengers.
75200.02,"Chauffeurs drive automobiles and limousines to transport personnel and visitors of businesses, government or other organizations or members of private households."
75201.00,"Delivery service drivers drive automobiles, vans and light trucks to pick up and deliver various products. Door-to-door distributors deliver items to residences and businesses."
75210.01,"Lock equipment operators operate lock gates, bridges and similar equipment along canal systems."
75210.02,Cable ferry operators operate cable ferries.
75210.03,Ferry terminal workers operate equipment required to perform work at ferry terminals.
75210.04,"Boat operators, and owner-operators, operate small motorboats or watercraft to transport passengers or freight."
75211.01,Railway labourers perform a variety of tasks to assist track maintenance workers and railway yard workers.
75211.02,Motor transport labourers perform a variety of tasks to assist motor transport operators.
75212.00,"Public works and maintenance labourers perform a variety of labouring activities to maintain sidewalks, streets, roads and similar areas."
80010.00,"Managers in natural resources production and fishing plan, organize, direct, control and evaluate the operations of establishments in forestry and logging, mining and quarrying, oil and gas drilling, production and servicing operations, and commercial fishing."
80020.00,"Managers in agriculture plan, organize, direct, control and evaluate the operations and functions of farms. They are responsible for growing crops, raising and breeding livestock, poultry and other animals, marketing farm products and enhancing farms’ sustainability through, notably, the implementation of new technologies."
80021.00,"Managers in horticulture plan, organize, direct and control the activities of nursery and greenhouse staff who grow and market trees, shrubs, flowers and plants."
80022.00,"Managers in aquaculture manage operations of facilities which cultivate and harvest fish, shellfish or marine plants for replenishment of wildlife stocks or for commercial sale."
82010.00,Supervisors in logging and forestry supervise and coordinate the activities of workers engaged in logging operations and silvicultural operations.
82020.00,Supervisors in mining and quarrying supervise and coordinate activities of workers engaged in underground and surface mining operations and quarries.
82021.00,"Contractors and supervisors in oil and gas drilling and services supervise and coordinate the activities in drilling for oil or gas, operating service rigs, or providing oil and gas well services."
82030.01,"Agricultural service contractors provide agricultural services such as livestock and poultry breeding, soil preparation, crop planting, crop spraying, cultivating or harvesting."
82030.02,"Farm supervisors supervise the work of specialized livestock workers, farm machinery operators, livestock labourers, aquaculture labourers and harvesting labourers."
82031.00,"Contractors and supervisors, landscaping, grounds maintenance and horticulture services supervise and coordinate the activities of workers in the following unit groups: Nursery and greenhouse workers (85.103) and Landscaping and grounds maintenance labourers (85.191)."
83100.00,"Underground production and development miners drill, blast, operate mining machinery, and perform related duties to extract coal and ore in underground mines and to construct tunnels, passageways and shafts to facilitate mining operations. Apprentices are also included in this unit group."
83101.01,"Oil and gas well drillers and well servicers control the operation of drilling and hoisting equipment on drilling and service rigs, and direct the activities of the rig crew under supervision of the rig manager."
83101.02,"Oil and gas well loggers, testers and related workers operate specialized mechanical or electronic equipment, tools or instruments to provide services in conjunction with well drilling, completion or servicing."
83110.00,"Logging machinery operators operate cable yarding systems, mechanical harvesters and forwarders and mechanical tree processors and loaders to fell, yard and process trees at logging sites."
83120.00,Fishing masters and officers manage and operate saltwater and freshwater fishing vessels greater than 100 gross tonnes to pursue and land fish and other marine life.
83121.00,Fishermen/women operate fishing vessels less than 100 gross tonnes to pursue and land fish and other marine life.
84100.00,"Underground mine service and support workers perform a range of duties related to the operation of orepasses, chutes and conveyor systems, the construction and support of underground structures, passages and roadways, and the supply of materials and supplies to support underground mining."
84101.01,Oil and gas well drilling workers operate drilling and service rig machinery as intermediate members of the rig crew.
84101.02,"Oil and gas well services operators drive trucks and operate specialized hydraulic pumping systems to place cement in wells or to treat wells with chemicals, sand mixtures or gases to stimulate production."
84110.00,"Chain saw and skidder operators operate chain saws to fell, delimb and buck trees, and operate skidders to move or yard the felled trees from the logging site to the landing area for processing and transportation."
84111.00,"Silviculture and forestry workers perform a variety of duties related to reforestation and to the management, improvement and conservation of forest lands."
84120.01,"Specialized livestock workers carry out feeding, health and breeding programs on dairy, beef, sheep, poultry, swine and other livestock farms."
84120.02,Farm machinery operators operate and maintain farm machinery and equipment.
84121.00,"Fishing vessel deckhands perform a variety of manual tasks on commercial fishing voyages, and maintain fishing vessels."
85100.00,"Livestock labourers assist other farm workers to raise cattle, poultry and other animals, to help carry out feeding, health and breeding programs, to process animal products and to assist in the maintenance and repair of  farm equipment and buildings."
85101.00,"Harvesting labourers and related workers assist other farm workers to plant, harvest, sort and pack crops. They participate in soil preparation, irrigation and crop planting, spraying and thinning."
85102.00,"Aquaculture and marine harvest labourers include aquaculture support workers, marine plant gatherers, shellfish diggers and other labourers in aquaculture and fishing."
85103.00,"Nursery and greenhouse labourers plant, cultivate and harvest trees, shrubs, flowers and plants, and serve nursery and greenhouse customers."
85104.00,Trappers and hunters trap and hunt wild animals for pelts or live sale.
85110.00,"Mine labourers carry out a variety of general labouring duties to assist in the extraction of coal, minerals and ore, and in other services in support of underground mining."
85111.00,"Oil and gas drilling, servicing and related labourers carry out a variety of general labouring duties and operate equipment to assist in the drilling and servicing of oil and gas wells. This unit group also includes labourers who assist in geophysical prospecting for oil and gas."
85120.00,"Logging and forestry labourers perform a variety of manual tasks such as attaching choker cables to logs, planting trees, clearing brush, spraying chemicals, cleaning up landing areas and assisting other workers in woodlands operations."
85121.00,"Landscaping and grounds maintenance labourers perform work to assist in the construction of landscapes and related structures, and to maintain lawns, gardens, athletic fields, golf courses, cemeteries, parks, landscaped interiors and other landscaped areas."
90010.00,"Manufacturing managers plan, organize, direct, control and evaluate the operations of a manufacturing establishment or of a production department within a manufacturing establishment, under the direction of a general manager or other senior manager."
90011.01,"Water supply managers plan, organize, direct, control and evaluate the operations and services of water purification and distribution companies."
90011.02,"Electrical power distribution managers plan, organize, direct, control and evaluate the operations of electric power distribution services and utility companies."
90011.03,"Natural gas and petroleum supply managers plan, organize, direct, control and evaluate the operations and services of natural gas and heating oil distribution services and companies."
90011.04,"Water pollution control managers plan, organize, direct, control and evaluate the operations of water purification and treatment companies and services."
90011.05,"Waste systems managers plan, organize, direct, control and evaluate the operations of utility companies and services engaged in waste disposal and waste recycling."
92010.00,Supervisors in mineral and metal processing supervise and coordinate the activities of workers engaged in mineral and metal processing and manufacturing.
92011.00,"Supervisors in petroleum, gas and chemical processing and utilities supervise and coordinate the activities of workers in the following unit groups: Central control and process operators, petroleum, gas and chemical processing (93.101), Power engineers and power systems operators (92.100), Water and waste treatment plant operators (92.101), Chemical plant machine operators (94.110) and Labourers in chemical products processing and utilities (95.102)."
92012.00,"Supervisors in food and beverage processing supervise and coordinate the activities of workers who operate processing and packaging machines, and workers who grade food and beverage products."
92013.00,"Supervisors in plastic and rubber products manufacturing supervise and coordinate the activities of workers who operate processing machines and who fabricate, assemble and inspect rubber or plastic products."
92014.00,Supervisors in forest products processing supervise and coordinate the activities of workers engaged in pulp and paper production and wood processing and manufacturing.
92015.00,"Supervisors in textile, fabric, fur and leather products processing and manufacturing supervise and coordinate the activities of workers engaged in textile, fabric, fur and leather products processing and manufacturing."
92020.00,Supervisors in motor vehicle assembling supervise and coordinate the activities of workers in motor vehicle production departments.
92021.00,"Supervisors in electronics manufacturing supervise and coordinate the activities of workers who assemble, fabricate, test, repair and inspect electronic parts, components and systems."
92022.00,Supervisors in furniture and fixtures manufacturing supervise and coordinate the activities of workers who manufacture furniture and fixtures made of wood or other materials.
92023.00,"Supervisors in other mechanical and metal products manufacturing supervise and coordinate the activities of workers who fabricate, assemble and inspect mechanical and metal products, such as aircraft and aircraft parts, heavy trucks, buses, trailers, motor vehicle engines, transmissions, heating equipment, commercial refrigeration and similar metal products."
92024.00,"Supervisors in other products manufacturing and assembly supervise and coordinate the activities of workers who assemble, fabricate and inspect a variety of products not elsewhere classified, such as jewellery, clocks and watches, millwork, sporting goods, toys and other miscellaneous products."
92100.01,"Power engineers operate and maintain reactors, turbines, boilers, generators, stationary engines and auxiliary equipment to generate electrical power and to provide heat, light, refrigeration and other utility services for commercial, institutional and industrial buildings and other work sites. Apprentices are also included in this occupation."
92100.02,Power systems operators monitor and operate switchboards and related equipment in electrical control centres to control the distribution of electrical power in transmission networks. Apprentices are also included in this occupation.
92101.01,Water treatment plant operators monitor and operate computerized control systems and related equipment in water filtration and treatment plants to regulate the treatment and distribution of water.
92101.02,"Liquid waste plant operators monitor and operate computerized control systems and related equipment in wastewater, sewage treatment and liquid waste plants to regulate the treatment and disposal of sewage and wastes."
93100.00,"Central control and process operators, mineral and metal processing, operate and monitor multi-function process control machinery and equipment to control the processing of mineral ores, metals or cement."
93101.00,"Central control and process operators in petroleum, gas and chemical processing monitor and operate petroleum, petrochemical and chemical plants and monitor, adjust and maintain processing units and equipment in these plants."
93102.00,"Pulping, papermaking and coating control operators operate and monitor multi-function process control machinery and equipment to control the processing of wood, scrap pulp, recyclable paper, cellulose materials, paper pulp and paperboard."
93200.01,"Aircraft assemblers assemble, fit and install prefabricated parts to manufacture fixed wing or rotary wing aircraft or aircraft subassemblies."
93200.02,Aircraft assembly inspectors inspect aircraft assemblies for adherence to engineering specifications.
94100.00,Machine operators in mineral and metal processing operate machinery to process mineral ore and metal.
94101.01,Mouldmakers and coremakers make foundry cores by hand and machines to make foundry moulds and cores.
94101.02,Metal casters operate machines to cast molten metal for use in foundries.
94101.03,Foundry furnace operators run furnaces to melt and cast metals in foundries.
94102.01,"Glass process control operators run multi-functional process control machinery to melt, form and cut float glass and glass products."
94102.02,Glass forming machine operators run single-function machines to melt and form glassware and glass products.
94102.03,"Glass finishing machine operators run single-function machines to finish flat glass, glassware, bottles and other glass products."
94102.04,Glass cutters cut flat glass of various thicknesses to specified sizes and shapes by hand.
94103.01,"Concrete products forming and finiching machine operators and workers operate single function machines to mix, punch, grind and cut concrete and cast and finish concrete product."
94103.02,"Clay products forming and finishing machine operators run machines to mix, extrude, mould, press and bake clay in order to form clay products."
94103.03,"Stone forming and finishing workers operate machines to form, cut and finish stone products."
94104.00,"Inspectors and testers in mineral and metal processing inspect, grade, sample or test raw materials and products from mineral ore and metal processing operations."
94105.01,Light metalworking machine operators operate metalworking machines which shape and form sheet or other light metal into parts or products. Heavy metalworking machine operators operate metalworking machines which shape and form steel or other heavy metal into parts or products.
94105.02,"Forging machine operators operate forging machines to form and shape metal into various shapes and sizes and impart desired strength, hardness or other characteristics."
94106.00,Machining tool operators set up and operate or tend metal-cutting machines designed for repetitive machining work. This unit group also includes workers who etch or chemically mill metal pieces.
94107.00,"Machine operators of other metal products operate one or more automatic or multi-purpose machines to produce a variety of metal parts and products, such as wire mesh, nails, bolts and chains."
94110.00,"Chemical plant machine operators monitor and operate units and machinery to blend, mix, process and package a wide range of specialty chemicals, pharmaceuticals, cleaning and toiletry products."
94111.01,Mixing machine operators set up and operate mixing machines used in the manufacture of plastic parts and products.
94111.02,Calendering process operators set up and operate calendering machines used in the manufacture of plastic parts and products.
94111.03,Extruding process operators set up and operate extruding machines used in the manufacture of plastic parts and products.
94111.04,Moulding process operators set up and operate moulding processing machines used in the manufacture of plastic parts and products.
94112.01,Rubber processing machine operators operate processing machines used in the manufacture of rubber products.
94112.02,"Assemblers, rubber products put together rubber products."
94112.03,Rubber products inspectors examine products to ensure that they conform to specifications and quality standards.
94120.00,"Sawmill machine operators operate, monitor and control automated lumbermill equipment to saw timber logs into rough lumber; saw, trim and plane rough lumber into dressed lumber of various sizes; and saw or split shingles and shakes."
94121.00,"Pulp mill and papermaking and finishing machine operators operate and monitor various types of processing machinery and equipment to produce pulp and assist papermaking and coating control operators to produce, coat and finish paper."
94122.00,"Paper converting machine operators operate various machines which fabricate and assemble paper products such as paper bags, containers, boxes, envelopes and similar articles."
94123.01,"Lumber graders inspect and grade lumber to identify defects, to ensure that the lumber conforms to company specifications, and to classify lumber according to industry standards."
94123.02,"Inspectors and graders iinspect and grade shingles, veneer, waferboard and similar wood products to identify defects, to ensure that they conform to company specifications and to classify products according to industry standards."
94124.00,"Woodworking machine operators set up, program and operate one or more woodworking machines to fabricate or repair wooden parts for furniture, fixtures or other wood products."
94129.00,"Other wood processing machine operators operate and tend wood processing equipment and machines to remove bark from logs, produce wood chips, preserve and treat wood, and produce waferboards, particleboards, hardboards, insulation boards, plywood, veneers and similar wood products."
94130.01,"Textile fibre, yarn, hide and pelt processing machine operators operate machines to prepare textile fibres and spin, wind or twist yarn or thread."
94130.02,"Textile, hide and pelt dyeing and finishing machine operators operate machines to bleach, dye, coat and finish fabric, thread, other textile products, hide or pelt."
94131.00,"Weavers, knitters and other workers in fabric making occupations operate machines to process yarn or thread into woven, non-woven and knitted products such as cloth, lace, carpets, rope, industrial fabric, hosiery and knitted garments or to quilt and embroider fabric. This unit group also includes workers who perform activities such as reproducing patterns, drawing-in and tying warps and setting up looms."
94132.00,"Industrial sewing machine operators operate sewing machines to sew fabric, fur, leather or synthetic materials to produce or repair garments and other articles."
94133.00,"Inspectors and graders in textile, fabric, fur and leather products manufacturing inspect and grade textile, fabric, fur and leather products."
94140.01,"Process control operators, food and beverage processing operate multi-function process control machinery to process and package food and beverage products."
94140.02,"Machine operators, food and beverage operate single-function machines to process and package food and beverage products."
94141.01,Industrial butchers prepare meat and poultry for further processing or for packaging for wholesale distribution.
94141.02,Industrial meat cutters prepare meat and poultry for further processing or for packaging for wholesale distribution.
94141.03,Poultry preparers prepare poultry for further processing or for packaging for wholesale distribution.
94142.01,Fish and seafood plant machine operators set up and operate machinery to process and package fish and seafood products.
94142.02,"Fish and seafood plant cutters and cleaners cut, trim and clean fish or seafood by hand."
94143.00,Testers and graders in food and beverage processing test or grade ingredients and finished food or beverage products to ensure conformance to company standards.
94150.00,"Plateless printing equipment operators operate laser printers, computerized high speed colour copiers and other printing machines to print text, illustrations and designs on a wide variety of materials such as paper, plastic, glass, leather, and metal."
94151.01,"Graphic arts camera operators, scanner operators, film strippers and assemblers operate graphic arts cameras and scanners, assemble film and negatives and prepare printing plates or cylinders for various types of printing presses."
94151.02,"Etchers and engravers etch or engrave texts, designs or patterns onto the workpiece using hand tools, etching machines, photogravure or laser processes."
94151.03,"Prepress technicians, platemakers, proofmakers, and pre-flight/file-preparation operators prepare printing plates or cylinders for various types of printing presses."
94152.00,"Binding and finishing machine operators set up, operate or oversee the operation of machines, equipment or computerized units that bind and finish printed material. Workers who perform finishing operations in the paper, carton and packaging industries, as well as those who encode and stamp plastic cards, are included in this unit group."
94153.00,Photographic and film processors process and finish still photographic film and motion picture film.
94200.01,Motor vehicle assemblers assemble and install prefabricated motor vehicle parts and components to form subassemblies and finished motor vehicles.
94200.02,"Motor vehicle inspectors and testers inspect and test parts, subassemblies, accessories and finished products to ensure proper performance and conformity to quality standards."
94201.01,"Electronics assemblers and fabricators assemble and fabricate electronic equipment, parts and components."
94201.02,"Electronics inspectors and testers inspect and test electronic and electromechanical assemblies, subassemblies, parts and components to ensure conformance to prescribed standards."
94202.01,"Assemblers, electrical appliance, apparatus and equipment manufacturing assemble prefabricated parts to produce household, commercial and industrial appliances and equipment. Workers who set up and prepare assembly lines for operation are included in this occupation."
94202.02,"Inspectors and testers, electrical appliance, apparatus and equipment manufacturing inspect and test assembled products."
94203.01,"Assemblers, industrial electrical motors and transformers assemble and fit heavy-duty industrial electrical equipment."
94203.02,"Electrical fitters and wirers, industrial electrical motors and transformers assemble, fabricate, fit and wire heavy-duty industrial electrical equipment."
94203.03,"Inspectors, industrial electrical motors and transformers inspect heavy-duty industrial electrical equipment."
94204.01,"Mechanical assemblers assemble a wide variety of mechanical products such as trucks, buses, snowmobiles, garden tractors, automotive engines, transmissions, outboard motors, gearboxes, hydraulic pumps and sewing machines."
94204.02,Mechanical inspectors check and inspect subassemblies and finished products to ensure proper quality and product specifications.
94205.01,"Machine operators in electrical apparatus manufacturing operate machinery or equipment to fabricate complete products or parts for use in the assembly of electrical appliances and equipment, and electrical apparatus, such as batteries, fuses and plugs."
94205.02,"Inspectors and testers, electrical apparatus manufacturing inspect and test completed parts and production items."
94210.01,Furniture and fixture assemblers assemble parts to form subassemblies or complete articles of furniture and fixtures.
94210.02,Furniture finishers finish new wood or metal furniture to specified colour and finish.
94210.03,"Furniture refinishers refinish repaired, used or old furniture."
94210.04,Furniture and fixture inspectors inspect furniture and fixture subassemblies and finished products to ensure product quality.
94211.01,"Assemblers of other wood products assemble a variety of wood products and millwork, such as window sashes and doors."
94211.02,Inspectors of other wood products inspect wood products to ensure product quality.
94212.01,"Plastics products assemblers and finishers assemble, finish plastic parts and finished products."
94212.02,Plastics products inspectors inspect plastic parts and finished products.
94213.01,"Industrial painters and coaters operate and tend machines or use brushes and spray equipment to apply paint, enamel, lacquer or other non-metallic protective and decorative coatings to surfaces of various products."
94213.02,"Industrial metal finishing process operators operate machines or equipment to deposit metallized substances on workpieces and surfaces to provide decorative, protective and restorative coatings."
94219.01,"Product assemblers and finishers assembled products such as jewellery, silverware, buttons, pencils, non-prescription lenses, brushes, clocks and watches, musical instruments, sporting good and toys."
94219.02,"Product inspectors inspect assembled products such as jewellery, silverware, buttons, pencils, non-prescription lenses, brushes, clocks and watches, musical instruments, sporting good and toys."
95100.00,"Labourers in mineral and metal processing perform material handling, clean-up, packaging and other elemental activities related to mineral ore and metal processing."
95101.00,"Labourers in metal fabrication remove excess metal and unwanted materials from metal parts, castings and other metal products and perform other labouring activities."
95102.00,"Labourers in chemical products processing and utilities carry out a variety of material handling, cleaning and routine general labouring activities."
95103.00,"Labourers in wood, pulp and paper processing carry out a variety of general labouring and routine wood processing activities and assist pulp mill and papermaking machine operators."
95104.00,"Labourers in rubber and plastic products manufacturing assist machine operators, transport materials and perform similar tasks."
95105.01,"Labourers in textile processing perform a variety of manual duties to assist in processing fibres into yarn or thread, or to assist in weaving, knitting, bleaching, dyeing or finishing textile fabrics or other textile products."
95105.02,"Fabric cutters cut fabric to make parts for garments, linens and other articles."
95105.03,Fur cutters cut fur pelts to make parts for garments and other fur articles.
95105.04,"Leather cutters cut leather to make parts for shoes, garments and other leather articles."
95106.00,"Labourers in food and beverage processing perform material handling, clean-up, packaging and other elemental activities related to food and beverage processing."
95107.00,"Labourers in fish and seafood processing perform clean-up, packaging, material handling and other elemental activities related to fish and seafood processing."
95109.00,"Other labourers in processing, manufacturing and utilities perform material handling, clean-up, packaging and other elemental activities in processing, manufacturing and utilities."
